,timestamp,value
2017-11-01 00:02:38,1509465758,5.0
2017-11-01 00:16:23,1509466583,5.0
2017-11-01 00:30:07,1509467407,5.0
2017-11-01 00:43:52,1509468232,5.0
2017-11-01 00:57:36,1509469056,5.0
2017-11-01 01:11:21,1509469881,5.0
2017-11-01 01:25:05,1509470705,5.0
2017-11-01 01:38:50,1509471530,5.0
2017-11-01 01:52:34,1509472354,5.0
2017-11-01 02:06:19,1509473179,5.0
2017-11-01 02:20:03,1509474003,5.0
2017-11-01 02:33:48,1509474828,5.0
2017-11-01 02:47:32,1509475652,5.0
2017-11-01 03:01:17,1509476477,5.0
2017-11-01 03:15:01,1509477301,5.0
2017-11-01 03:28:46,1509478126,5.0
2017-11-01 03:42:30,1509478950,5.0
2017-11-01 03:56:15,1509479775,5.0
2017-11-01 04:09:59,1509480599,5.0
2017-11-01 04:23:44,1509481424,5.0
2017-11-01 04:37:28,1509482248,5.0
2017-11-01 04:51:12,1509483072,5.0
2017-11-01 05:04:57,1509483897,5.0
2017-11-01 05:18:41,1509484721,5.0
2017-11-01 05:32:26,1509485546,5.0
2017-11-01 05:46:11,1509486371,5.0
2017-11-01 05:59:55,1509487195,5.0
2017-11-01 06:13:39,1509488019,5.0
2017-11-01 06:27:24,1509488844,5.0
2017-11-01 06:41:08,1509489668,5.0
2017-11-01 06:54:53,1509490493,6.0
2017-11-01 07:08:37,1509491317,6.0
2017-11-01 07:22:22,1509492142,6.0
2017-11-01 07:36:06,1509492966,6.0
2017-11-01 07:49:51,1509493791,6.0
2017-11-01 07:57:53,1509494273,7.0
2017-11-01 07:57:57,1509494277,6.0
2017-11-01 08:03:35,1509494615,6.0
2017-11-01 08:17:20,1509495440,7.0
2017-11-01 08:21:08,1509495668,9.0
2017-11-01 08:21:11,1509495671,9.0
2017-11-01 08:31:04,1509496264,15.0
2017-11-01 08:44:49,1509497089,10.0
2017-11-01 08:58:33,1509497913,9.0
2017-11-01 09:12:18,1509498738,9.0
2017-11-01 09:26:02,1509499562,9.0
2017-11-01 09:39:47,1509500387,8.0
2017-11-01 09:53:08,1509501188,8.0
2017-11-01 09:53:31,1509501211,8.0
2017-11-01 10:07:16,1509502036,8.0
2017-11-01 10:21:00,1509502860,10.0
2017-11-01 10:25:14,1509503114,11.0
2017-11-01 10:25:16,1509503116,11.0
2017-11-01 10:34:45,1509503685,8.0
2017-11-01 10:48:29,1509504509,7.0
2017-11-01 11:02:13,1509505333,8.0
2017-11-01 11:15:58,1509506158,8.0
2017-11-01 11:29:42,1509506982,7.0
2017-11-01 11:43:27,1509507807,7.0
2017-11-01 11:57:11,1509508631,7.0
2017-11-01 12:10:56,1509509456,6.0
2017-11-01 12:24:40,1509510280,6.0
2017-11-01 12:38:25,1509511105,7.0
2017-11-01 12:52:09,1509511929,6.0
2017-11-01 13:05:54,1509512754,6.0
2017-11-01 13:19:38,1509513578,6.0
2017-11-01 13:33:23,1509514403,6.0
2017-11-01 13:47:07,1509515227,6.0
2017-11-01 13:58:31,1509515911,7.0
2017-11-01 13:58:35,1509515915,6.0
2017-11-01 14:00:52,1509516052,7.0
2017-11-01 14:02:33,1509516153,7.0
2017-11-01 14:02:35,1509516155,7.0
2017-11-01 14:02:36,1509516156,7.0
2017-11-01 14:02:40,1509516160,7.0
2017-11-01 14:08:38,1509516518,7.0
2017-11-01 14:08:42,1509516522,7.0
2017-11-01 14:14:36,1509516876,7.0
2017-11-01 14:28:21,1509517701,7.0
2017-11-01 14:30:05,1509517805,8.0
2017-11-01 14:30:09,1509517809,7.0
2017-11-01 14:42:05,1509518525,8.0
2017-11-01 14:55:50,1509519350,8.0
2017-11-01 15:09:34,1509520174,11.0
2017-11-01 15:23:19,1509520999,10.0
2017-11-01 15:37:03,1509521823,7.0
2017-11-01 15:50:48,1509522648,7.0
2017-11-01 16:04:32,1509523472,8.0
2017-11-01 16:12:02,1509523922,8.0
2017-11-01 16:12:05,1509523925,8.0
2017-11-01 16:18:17,1509524297,8.0
2017-11-01 16:32:01,1509525121,8.0
2017-11-01 16:45:46,1509525946,8.0
2017-11-01 16:59:30,1509526770,8.0
2017-11-01 17:07:47,1509527267,8.0
2017-11-01 17:07:50,1509527270,8.0
2017-11-01 17:13:14,1509527594,8.0
2017-11-01 17:15:59,1509527759,7.0
2017-11-01 17:16:02,1509527762,7.0
2017-11-01 17:26:59,1509528419,8.0
2017-11-01 17:40:43,1509529243,7.0
2017-11-01 17:54:28,1509530068,7.0
2017-11-01 18:08:12,1509530892,6.0
2017-11-01 18:21:57,1509531717,7.0
2017-11-01 18:35:41,1509532541,6.0
2017-11-01 18:49:26,1509533366,7.0
2017-11-01 19:03:10,1509534190,7.0
2017-11-01 19:16:55,1509535015,7.0
2017-11-01 19:30:39,1509535839,6.0
2017-11-01 19:44:24,1509536664,6.0
2017-11-01 19:58:08,1509537488,6.0
2017-11-01 20:11:53,1509538313,6.0
2017-11-01 20:25:37,1509539137,6.0
2017-11-01 20:39:22,1509539962,7.0
2017-11-01 20:53:06,1509540786,6.0
2017-11-01 21:06:51,1509541611,7.0
2017-11-01 21:20:35,1509542435,7.0
2017-11-01 21:34:20,1509543260,6.0
2017-11-01 21:48:04,1509544084,6.0
2017-11-01 22:01:49,1509544909,6.0
2017-11-01 22:15:33,1509545733,7.0
2017-11-01 22:29:18,1509546558,7.0
2017-11-01 22:43:02,1509547382,6.0
2017-11-01 22:56:47,1509548207,6.0
2017-11-01 23:10:31,1509549031,6.0
2017-11-01 23:24:16,1509549856,6.0
2017-11-01 23:38:00,1509550680,6.0
2017-11-01 23:51:44,1509551504,6.0
2017-11-02 00:05:29,1509552329,7.0
2017-11-02 00:19:13,1509553153,6.0
2017-11-02 00:32:58,1509553978,6.0
2017-11-02 00:46:42,1509554802,6.0
2017-11-02 01:00:27,1509555627,6.0
2017-11-02 01:14:11,1509556451,6.0
2017-11-02 01:27:56,1509557276,6.0
2017-11-02 01:41:40,1509558100,6.0
2017-11-02 01:55:25,1509558925,6.0
2017-11-02 02:09:09,1509559749,6.0
2017-11-02 02:22:54,1509560574,6.0
2017-11-02 02:36:38,1509561398,6.0
2017-11-02 02:50:23,1509562223,6.0
2017-11-02 03:04:07,1509563047,6.0
2017-11-02 03:17:52,1509563872,7.0
2017-11-02 03:31:36,1509564696,6.0
2017-11-02 03:45:21,1509565521,6.0
2017-11-02 03:59:05,1509566345,6.0
2017-11-02 04:12:50,1509567170,6.0
2017-11-02 04:26:34,1509567994,6.0
2017-11-02 04:40:19,1509568819,6.0
2017-11-02 04:54:03,1509569643,6.0
2017-11-02 05:07:48,1509570468,6.0
2017-11-02 05:21:32,1509571292,7.0
2017-11-02 05:35:17,1509572117,6.0
2017-11-02 05:38:42,1509572322,7.0
2017-11-02 05:49:01,1509572941,7.0
2017-11-02 06:02:45,1509573765,6.0
2017-11-02 06:16:30,1509574590,6.0
2017-11-02 06:30:14,1509575414,6.0
2017-11-02 06:43:59,1509576239,6.0
2017-11-02 06:57:43,1509577063,6.0
2017-11-02 07:11:28,1509577888,6.0
2017-11-02 07:25:12,1509578712,6.0
2017-11-02 07:31:12,1509579072,6.0
2017-11-02 07:31:16,1509579076,6.0
2017-11-02 07:38:57,1509579537,7.0
2017-11-02 07:52:41,1509580361,6.0
2017-11-02 08:06:26,1509581186,6.0
