date,timestamp,value
2017-11-16 00:03:14,1510761794,5
2017-11-16 00:03:15,1510761795,5
2017-11-16 00:05:02,1510761902,5
2017-11-16 00:07:13,1510762033,5
2017-11-16 00:07:15,1510762035,5
2017-11-16 00:16:30,1510762590,5
2017-11-16 00:16:31,1510762591,5
2017-11-16 00:18:47,1510762727,5
2017-11-16 00:32:31,1510763551,5
2017-11-16 00:42:04,1510764124,6
2017-11-16 00:42:06,1510764126,5
2017-11-16 00:42:26,1510764146,5
2017-11-16 00:42:27,1510764147,5
2017-11-16 00:46:06,1510764366,6
2017-11-16 00:46:14,1510764374,5
2017-11-16 00:46:16,1510764376,5
2017-11-16 01:00:00,1510765200,5
2017-11-16 01:07:51,1510765671,6
2017-11-16 01:07:53,1510765673,6
2017-11-16 01:11:07,1510765867,5
2017-11-16 01:11:09,1510765869,5
2017-11-16 01:12:05,1510765925,6
2017-11-16 01:12:07,1510765927,6
2017-11-16 01:13:45,1510766025,5
2017-11-16 01:16:33,1510766193,4
2017-11-16 01:16:34,1510766194,4
2017-11-16 01:27:29,1510766849,4
2017-11-16 01:32:31,1510767151,6
2017-11-16 01:32:32,1510767152,6
2017-11-16 01:37:17,1510767437,4
2017-11-16 01:37:18,1510767438,4
2017-11-16 01:41:13,1510767673,4
2017-11-16 01:52:33,1510768353,4
2017-11-16 01:52:37,1510768357,4
2017-11-16 01:54:58,1510768498,6
2017-11-16 02:08:42,1510769322,4
2017-11-16 02:12:08,1510769528,4
2017-11-16 02:12:09,1510769529,4
2017-11-16 02:16:09,1510769769,4
2017-11-16 02:16:14,1510769774,4
2017-11-16 02:22:27,1510770147,4
2017-11-16 02:22:36,1510770156,4
2017-11-16 02:22:38,1510770158,4
2017-11-16 02:36:11,1510770971,4
2017-11-16 02:42:10,1510771330,4
2017-11-16 02:42:11,1510771331,4
2017-11-16 02:49:56,1510771796,4
2017-11-16 02:57:39,1510772259,4
2017-11-16 02:57:40,1510772260,4
2017-11-16 03:03:40,1510772620,4
2017-11-16 03:07:20,1510772840,4
2017-11-16 03:07:22,1510772842,4
2017-11-16 03:12:40,1510773160,4
2017-11-16 03:12:41,1510773161,4
2017-11-16 03:16:49,1510773409,4
2017-11-16 03:16:53,1510773413,5
2017-11-16 03:17:25,1510773445,4
2017-11-16 03:31:09,1510774269,6
2017-11-16 03:42:11,1510774931,4
2017-11-16 03:42:13,1510774933,4
2017-11-16 03:44:54,1510775094,4
2017-11-16 03:58:38,1510775918,4
2017-11-16 04:02:45,1510776165,4
2017-11-16 04:02:47,1510776167,4
2017-11-16 04:07:22,1510776442,5
2017-11-16 04:07:24,1510776444,5
2017-11-16 04:12:23,1510776743,4
2017-11-16 04:12:46,1510776766,4
2017-11-16 04:12:48,1510776768,4
2017-11-16 04:16:52,1510777012,4
2017-11-16 04:16:54,1510777014,4
2017-11-16 04:26:07,1510777567,4
2017-11-16 04:39:52,1510778392,4
2017-11-16 04:42:14,1510778534,4
2017-11-16 04:42:15,1510778535,4
2017-11-16 04:53:36,1510779216,5
2017-11-16 04:57:51,1510779471,4
2017-11-16 04:57:52,1510779472,4
2017-11-16 04:59:23,1510779563,5
2017-11-16 04:59:24,1510779564,5
2017-11-16 05:02:07,1510779727,4
2017-11-16 05:02:08,1510779728,4
2017-11-16 05:07:21,1510780041,4
2017-11-16 05:21:05,1510780865,4
2017-11-16 05:34:50,1510781690,4
2017-11-16 05:37:26,1510781846,4
2017-11-16 05:37:28,1510781848,4
2017-11-16 05:38:54,1510781934,4
2017-11-16 05:42:30,1510782150,4
2017-11-16 05:42:55,1510782175,6
2017-11-16 05:42:57,1510782177,4
2017-11-16 05:44:33,1510782273,4
2017-11-16 05:44:34,1510782274,4
2017-11-16 05:48:34,1510782514,4
2017-11-16 06:02:19,1510783339,4
2017-11-16 06:02:57,1510783377,4
2017-11-16 06:02:59,1510783379,4
2017-11-16 06:12:17,1510783937,4
2017-11-16 06:12:19,1510783939,4
2017-11-16 06:13:57,1510784037,4
2017-11-16 06:13:59,1510784039,4
2017-11-16 06:16:03,1510784163,4
2017-11-16 06:22:08,1510784528,4
2017-11-16 06:22:21,1510784541,4
2017-11-16 06:29:48,1510784988,4
2017-11-16 06:33:01,1510785181,4
2017-11-16 06:33:03,1510785183,4
2017-11-16 06:37:28,1510785448,5
2017-11-16 06:37:30,1510785450,5
2017-11-16 06:43:32,1510785812,5
2017-11-16 06:53:02,1510786382,4
2017-11-16 06:53:04,1510786384,4
2017-11-16 06:57:17,1510786637,5
2017-11-16 06:58:03,1510786683,4
2017-11-16 06:58:06,1510786686,4
2017-11-16 07:03:03,1510786983,4
2017-11-16 07:03:07,1510786987,5
2017-11-16 07:07:29,1510787249,5
2017-11-16 07:07:31,1510787251,5
2017-11-16 07:11:01,1510787461,5
2017-11-16 07:13:04,1510787584,5
2017-11-16 07:13:06,1510787586,4
2017-11-16 07:16:25,1510787785,5
2017-11-16 07:16:26,1510787786,5
2017-11-16 07:16:28,1510787788,4
2017-11-16 07:20:26,1510788026,5
2017-11-16 07:24:46,1510788286,5
2017-11-16 07:38:30,1510789110,5
2017-11-16 07:52:14,1510789934,5
2017-11-16 08:05:59,1510790759,6
2017-11-16 08:19:43,1510791583,6
2017-11-16 08:33:28,1510792408,7
2017-11-16 08:45:40,1510793140,7
2017-11-16 08:47:12,1510793232,9
2017-11-16 09:00:57,1510794057,14
2017-11-16 09:14:41,1510794881,17
2017-11-16 09:28:26,1510795706,8
2017-11-16 09:42:10,1510796530,8
2017-11-16 09:55:55,1510797355,7
2017-11-16 10:09:39,1510798179,8
2017-11-16 10:23:24,1510799004,7
2017-11-16 10:37:08,1510799828,8
2017-11-16 10:50:53,1510800653,7
2017-11-16 11:04:37,1510801477,7
2017-11-16 11:18:22,1510802302,8
2017-11-16 11:26:40,1510802800,7
2017-11-16 11:26:42,1510802802,7
2017-11-16 11:26:43,1510802803,7
2017-11-16 11:26:45,1510802805,7
2017-11-16 11:26:47,1510802807,7
2017-11-16 11:27:16,1510802836,7
2017-11-16 11:27:17,1510802837,7
2017-11-16 11:27:46,1510802866,7
2017-11-16 11:31:53,1510803113,7
2017-11-16 11:32:06,1510803126,6
2017-11-16 11:32:17,1510803137,6
2017-11-16 11:32:21,1510803141,6
2017-11-16 11:32:22,1510803142,6
2017-11-16 11:32:29,1510803149,6
2017-11-16 11:32:42,1510803162,6
2017-11-16 11:32:49,1510803169,6
2017-11-16 11:32:50,1510803170,6
2017-11-16 11:33:07,1510803187,6
2017-11-16 11:33:09,1510803189,6
2017-11-16 11:33:23,1510803203,6
2017-11-16 11:33:25,1510803205,6
2017-11-16 11:34:01,1510803241,7
2017-11-16 11:34:04,1510803244,6
2017-11-16 11:34:49,1510803289,6
2017-11-16 11:35:05,1510803305,6
2017-11-16 11:35:18,1510803318,6
2017-11-16 11:39:16,1510803556,6
2017-11-16 11:39:34,1510803574,7
2017-11-16 11:41:45,1510803705,6
2017-11-16 11:41:49,1510803709,6
2017-11-16 11:43:09,1510803789,7
2017-11-16 11:44:16,1510803856,7
2017-11-16 11:44:21,1510803861,7
2017-11-16 11:45:51,1510803951,7
2017-11-16 11:59:16,1510804756,7
2017-11-16 11:59:17,1510804757,7
2017-11-16 11:59:35,1510804775,7
2017-11-16 12:01:00,1510804860,6
2017-11-16 12:03:18,1510804998,7
2017-11-16 12:03:29,1510805009,7
2017-11-16 12:12:37,1510805557,6
2017-11-16 12:13:06,1510805586,6
2017-11-16 12:13:07,1510805587,6
2017-11-16 12:13:10,1510805590,6
2017-11-16 12:13:20,1510805600,6
2017-11-16 12:13:37,1510805617,6
2017-11-16 12:13:39,1510805619,6
2017-11-16 12:13:40,1510805620,6
2017-11-16 12:13:44,1510805624,6
2017-11-16 12:14:12,1510805652,6
2017-11-16 12:14:42,1510805682,6
2017-11-16 12:14:44,1510805684,6
2017-11-16 12:14:46,1510805686,6
2017-11-16 12:15:14,1510805714,6
2017-11-16 12:15:16,1510805716,6
2017-11-16 12:15:43,1510805743,6
2017-11-16 12:15:46,1510805746,6
2017-11-16 12:16:15,1510805775,6
2017-11-16 12:16:19,1510805779,6
2017-11-16 12:16:25,1510805785,6
2017-11-16 12:16:56,1510805816,6
2017-11-16 12:17:00,1510805820,6
2017-11-16 12:17:27,1510805847,6
2017-11-16 12:17:30,1510805850,6
2017-11-16 12:17:31,1510805851,6
2017-11-16 12:17:33,1510805853,6
2017-11-16 12:17:36,1510805856,6
2017-11-16 12:17:39,1510805859,6
2017-11-16 12:17:41,1510805861,6
2017-11-16 12:17:47,1510805867,6
2017-11-16 12:17:50,1510805870,6
2017-11-16 12:17:54,1510805874,6
2017-11-16 12:18:26,1510805906,5
2017-11-16 12:18:36,1510805916,6
2017-11-16 12:19:06,1510805946,6
2017-11-16 12:19:37,1510805977,6
2017-11-16 12:19:38,1510805978,6
2017-11-16 12:19:41,1510805981,6
2017-11-16 12:19:45,1510805985,6
2017-11-16 12:19:48,1510805988,6
2017-11-16 12:19:49,1510805989,6
2017-11-16 12:19:51,1510805991,6
2017-11-16 12:20:18,1510806018,6
2017-11-16 12:20:19,1510806019,6
2017-11-16 12:20:53,1510806053,6
2017-11-16 12:20:54,1510806054,6
2017-11-16 12:21:04,1510806064,6
2017-11-16 12:21:06,1510806066,6
2017-11-16 12:21:10,1510806070,6
2017-11-16 12:21:11,1510806071,6
2017-11-16 12:21:12,1510806072,6
2017-11-16 12:21:14,1510806074,6
2017-11-16 12:21:20,1510806080,6
2017-11-16 12:21:44,1510806104,6
2017-11-16 12:21:48,1510806108,6
2017-11-16 12:22:14,1510806134,6
2017-11-16 12:22:33,1510806153,6
2017-11-16 12:23:06,1510806186,6
2017-11-16 12:23:10,1510806190,6
2017-11-16 12:23:14,1510806194,6
2017-11-16 12:23:45,1510806225,6
2017-11-16 12:23:46,1510806226,6
2017-11-16 12:23:50,1510806230,6
2017-11-16 12:23:54,1510806234,6
2017-11-16 12:24:24,1510806264,6
2017-11-16 12:24:29,1510806269,6
2017-11-16 12:24:55,1510806295,6
2017-11-16 12:24:56,1510806296,6
2017-11-16 12:24:57,1510806297,6
2017-11-16 12:25:01,1510806301,6
2017-11-16 12:25:04,1510806304,6
2017-11-16 12:25:06,1510806306,6
2017-11-16 12:25:37,1510806337,6
2017-11-16 12:26:04,1510806364,6
2017-11-16 12:26:06,1510806366,6
2017-11-16 12:26:34,1510806394,6
2017-11-16 12:26:38,1510806398,6
2017-11-16 12:26:40,1510806400,6
2017-11-16 12:26:42,1510806402,6
2017-11-16 12:26:44,1510806404,6
2017-11-16 12:27:04,1510806424,6
2017-11-16 12:27:14,1510806434,6
2017-11-16 12:27:40,1510806460,6
2017-11-16 12:27:43,1510806463,6
2017-11-16 12:27:46,1510806466,6
2017-11-16 12:27:47,1510806467,6
2017-11-16 12:27:52,1510806472,6
2017-11-16 12:27:54,1510806474,6
2017-11-16 12:27:58,1510806478,6
2017-11-16 12:27:59,1510806479,6
2017-11-16 12:28:01,1510806481,6
2017-11-16 12:28:03,1510806483,6
2017-11-16 12:28:47,1510806527,6
2017-11-16 12:28:50,1510806530,6
2017-11-16 12:28:51,1510806531,6
2017-11-16 12:28:55,1510806535,6
2017-11-16 12:29:25,1510806565,6
2017-11-16 12:29:26,1510806566,6
2017-11-16 12:29:28,1510806568,6
2017-11-16 12:29:31,1510806571,6
2017-11-16 12:30:02,1510806602,6
2017-11-16 12:30:03,1510806603,6
2017-11-16 12:30:05,1510806605,6
2017-11-16 12:30:08,1510806608,6
2017-11-16 12:30:11,1510806611,6
2017-11-16 12:30:39,1510806639,6
2017-11-16 12:31:01,1510806661,6
2017-11-16 12:31:32,1510806692,6
2017-11-16 12:31:38,1510806698,6
2017-11-16 12:31:50,1510806710,6
2017-11-16 12:32:23,1510806743,6
2017-11-16 12:32:46,1510806766,6
2017-11-16 12:32:52,1510806772,5
2017-11-16 12:33:17,1510806797,6
2017-11-16 12:33:50,1510806830,5
2017-11-16 12:34:00,1510806840,6
2017-11-16 12:34:08,1510806848,6
2017-11-16 12:34:10,1510806850,6
2017-11-16 12:34:12,1510806852,6
2017-11-16 12:34:15,1510806855,6
2017-11-16 12:34:17,1510806857,5
2017-11-16 12:34:21,1510806861,5
2017-11-16 12:34:50,1510806890,6
2017-11-16 12:34:51,1510806891,6
2017-11-16 12:34:58,1510806898,6
2017-11-16 12:35:04,1510806904,6
2017-11-16 12:35:06,1510806906,6
2017-11-16 12:35:08,1510806908,6
2017-11-16 12:35:11,1510806911,6
2017-11-16 12:35:21,1510806921,6
2017-11-16 12:35:24,1510806924,6
2017-11-16 12:35:26,1510806926,6
2017-11-16 12:35:42,1510806942,5
2017-11-16 12:35:45,1510806945,6
2017-11-16 12:35:46,1510806946,6
2017-11-16 12:35:56,1510806956,6
2017-11-16 12:36:05,1510806965,6
2017-11-16 12:36:08,1510806968,6
2017-11-16 12:36:16,1510806976,6
2017-11-16 12:36:23,1510806983,6
2017-11-16 12:36:31,1510806991,6
2017-11-16 12:37:02,1510807022,6
2017-11-16 12:37:18,1510807038,6
2017-11-16 12:37:34,1510807054,6
2017-11-16 12:38:08,1510807088,6
2017-11-16 12:38:42,1510807122,6
2017-11-16 12:38:45,1510807125,6
2017-11-16 12:38:50,1510807130,6
2017-11-16 12:38:53,1510807133,6
2017-11-16 12:38:55,1510807135,6
2017-11-16 12:38:56,1510807136,6
2017-11-16 12:39:08,1510807148,5
2017-11-16 12:39:11,1510807151,6
2017-11-16 12:39:33,1510807173,6
2017-11-16 12:39:42,1510807182,6
2017-11-16 12:40:11,1510807211,6
2017-11-16 12:40:13,1510807213,6
2017-11-16 12:40:17,1510807217,6
2017-11-16 12:40:47,1510807247,6
2017-11-16 12:40:49,1510807249,6
2017-11-16 12:40:50,1510807250,6
2017-11-16 12:41:17,1510807277,6
2017-11-16 12:41:18,1510807278,6
2017-11-16 12:41:20,1510807280,6
2017-11-16 12:41:24,1510807284,6
2017-11-16 12:41:25,1510807285,6
2017-11-16 12:41:27,1510807287,6
2017-11-16 12:41:31,1510807291,6
2017-11-16 12:41:32,1510807292,6
2017-11-16 12:41:56,1510807316,6
2017-11-16 12:42:00,1510807320,6
2017-11-16 12:42:58,1510807378,6
2017-11-16 12:43:00,1510807380,6
2017-11-16 12:43:06,1510807386,6
2017-11-16 12:43:08,1510807388,6
2017-11-16 12:43:11,1510807391,6
2017-11-16 12:43:15,1510807395,6
2017-11-16 12:43:18,1510807398,6
2017-11-16 12:43:28,1510807408,6
2017-11-16 12:43:29,1510807409,6
2017-11-16 12:43:31,1510807411,6
2017-11-16 12:44:00,1510807440,6
2017-11-16 12:44:02,1510807442,6
2017-11-16 12:44:04,1510807444,6
2017-11-16 12:44:07,1510807447,6
2017-11-16 12:44:08,1510807448,6
2017-11-16 12:44:12,1510807452,6
2017-11-16 12:44:15,1510807455,6
2017-11-16 12:44:22,1510807462,6
2017-11-16 12:44:23,1510807463,6
2017-11-16 12:44:25,1510807465,6
2017-11-16 12:44:27,1510807467,6
2017-11-16 12:44:28,1510807468,6
2017-11-16 12:44:35,1510807475,6
2017-11-16 12:44:40,1510807480,6
2017-11-16 12:44:46,1510807486,6
2017-11-16 12:44:56,1510807496,6
2017-11-16 12:45:01,1510807501,6
2017-11-16 12:45:03,1510807503,6
2017-11-16 12:45:08,1510807508,6
2017-11-16 12:45:09,1510807509,6
2017-11-16 12:45:13,1510807513,6
2017-11-16 12:45:21,1510807521,6
2017-11-16 12:45:23,1510807523,6
2017-11-16 12:45:26,1510807526,6
2017-11-16 12:45:39,1510807539,6
2017-11-16 12:46:08,1510807568,6
2017-11-16 12:46:11,1510807571,6
2017-11-16 12:46:14,1510807574,6
2017-11-16 12:46:45,1510807605,6
2017-11-16 12:46:47,1510807607,6
2017-11-16 12:47:10,1510807630,6
2017-11-16 12:47:41,1510807661,6
2017-11-16 12:48:19,1510807699,6
2017-11-16 12:48:22,1510807702,6
2017-11-16 12:49:22,1510807762,6
2017-11-16 12:49:27,1510807767,6
2017-11-16 12:49:28,1510807768,6
2017-11-16 12:49:30,1510807770,6
2017-11-16 12:49:33,1510807773,6
2017-11-16 12:49:35,1510807775,6
2017-11-16 12:49:37,1510807777,6
2017-11-16 12:49:38,1510807778,6
2017-11-16 12:49:40,1510807780,6
2017-11-16 12:49:45,1510807785,6
2017-11-16 12:49:47,1510807787,6
2017-11-16 12:49:55,1510807795,6
2017-11-16 12:50:32,1510807832,6
2017-11-16 12:50:34,1510807834,6
2017-11-16 12:50:35,1510807835,6
2017-11-16 12:50:37,1510807837,6
2017-11-16 12:50:40,1510807840,6
2017-11-16 12:50:43,1510807843,6
2017-11-16 12:50:58,1510807858,6
2017-11-16 12:51:00,1510807860,6
2017-11-16 12:51:03,1510807863,6
2017-11-16 12:51:05,1510807865,6
2017-11-16 12:51:13,1510807873,6
2017-11-16 12:51:15,1510807875,6
2017-11-16 12:51:17,1510807877,6
2017-11-16 12:51:31,1510807891,6
2017-11-16 12:51:33,1510807893,6
2017-11-16 12:51:35,1510807895,6
2017-11-16 12:51:36,1510807896,6
2017-11-16 12:51:38,1510807898,6
2017-11-16 12:51:41,1510807901,6
2017-11-16 12:51:43,1510807903,6
2017-11-16 12:51:45,1510807905,6
2017-11-16 12:51:56,1510807916,6
2017-11-16 12:52:22,1510807942,6
2017-11-16 12:52:25,1510807945,6
2017-11-16 12:52:44,1510807964,6
2017-11-16 12:53:17,1510807997,6
2017-11-16 12:53:55,1510808035,6
2017-11-16 12:53:57,1510808037,6
2017-11-16 12:54:05,1510808045,6
2017-11-16 12:54:09,1510808049,5
2017-11-16 12:54:10,1510808050,5
2017-11-16 12:54:12,1510808052,6
2017-11-16 12:54:17,1510808057,6
2017-11-16 12:54:20,1510808060,5
2017-11-16 12:54:33,1510808073,5
2017-11-16 12:54:34,1510808074,6
2017-11-16 12:55:07,1510808107,6
2017-11-16 12:55:08,1510808108,6
2017-11-16 12:55:37,1510808137,6
2017-11-16 12:55:40,1510808140,6
2017-11-16 12:55:41,1510808141,6
2017-11-16 12:55:51,1510808151,6
2017-11-16 12:55:56,1510808156,6
2017-11-16 12:55:58,1510808158,6
2017-11-16 12:56:03,1510808163,6
2017-11-16 12:56:04,1510808164,6
2017-11-16 12:56:08,1510808168,5
2017-11-16 12:56:41,1510808201,6
2017-11-16 12:56:44,1510808204,6
2017-11-16 12:56:45,1510808205,6
2017-11-16 12:56:47,1510808207,6
2017-11-16 12:56:49,1510808209,5
2017-11-16 12:56:52,1510808212,6
2017-11-16 12:56:54,1510808214,6
2017-11-16 12:56:55,1510808215,6
2017-11-16 12:57:02,1510808222,6
2017-11-16 12:57:05,1510808225,6
2017-11-16 12:57:15,1510808235,6
2017-11-16 12:57:18,1510808238,6
2017-11-16 12:57:21,1510808241,6
2017-11-16 12:57:24,1510808244,6
2017-11-16 12:57:29,1510808249,5
2017-11-16 12:57:31,1510808251,6
2017-11-16 12:57:33,1510808253,6
2017-11-16 12:57:34,1510808254,6
2017-11-16 12:57:36,1510808256,6
2017-11-16 12:57:46,1510808266,6
2017-11-16 12:57:52,1510808272,6
2017-11-16 12:57:54,1510808274,6
2017-11-16 12:57:56,1510808276,6
2017-11-16 12:57:58,1510808278,6
2017-11-16 12:57:59,1510808279,6
2017-11-16 12:58:01,1510808281,6
2017-11-16 12:58:02,1510808282,6
2017-11-16 12:58:04,1510808284,6
2017-11-16 12:58:06,1510808286,5
2017-11-16 12:58:07,1510808287,5
2017-11-16 12:58:11,1510808291,5
2017-11-16 12:58:12,1510808292,5
2017-11-16 12:58:27,1510808307,6
2017-11-16 12:58:58,1510808338,6
2017-11-16 12:59:00,1510808340,6
2017-11-16 12:59:02,1510808342,5
2017-11-16 12:59:29,1510808369,6
2017-11-16 12:59:36,1510808376,6
2017-11-16 12:59:41,1510808381,6
2017-11-16 12:59:46,1510808386,6
2017-11-16 12:59:47,1510808387,6
2017-11-16 12:59:49,1510808389,6
2017-11-16 12:59:51,1510808391,6
2017-11-16 12:59:52,1510808392,6
2017-11-16 12:59:54,1510808394,6
2017-11-16 13:00:26,1510808426,6
2017-11-16 13:00:53,1510808453,6
2017-11-16 13:00:54,1510808454,6
2017-11-16 13:00:56,1510808456,6
2017-11-16 13:00:58,1510808458,6
2017-11-16 13:01:00,1510808460,6
2017-11-16 13:01:01,1510808461,6
2017-11-16 13:01:03,1510808463,5
2017-11-16 13:01:06,1510808466,6
2017-11-16 13:01:08,1510808468,5
2017-11-16 13:01:19,1510808479,5
2017-11-16 13:01:21,1510808481,6
2017-11-16 13:01:23,1510808483,5
2017-11-16 13:01:24,1510808484,5
2017-11-16 13:01:26,1510808486,6
2017-11-16 13:01:27,1510808487,6
2017-11-16 13:01:55,1510808515,6
2017-11-16 13:02:09,1510808529,6
2017-11-16 13:02:10,1510808530,6
2017-11-16 13:02:21,1510808541,6
2017-11-16 13:02:25,1510808545,6
2017-11-16 13:02:33,1510808553,6
2017-11-16 13:02:36,1510808556,6
2017-11-16 13:02:39,1510808559,6
2017-11-16 13:02:41,1510808561,6
2017-11-16 13:02:44,1510808564,6
2017-11-16 13:02:53,1510808573,6
2017-11-16 13:02:54,1510808574,6
2017-11-16 13:02:57,1510808577,6
2017-11-16 13:03:14,1510808594,6
2017-11-16 13:03:16,1510808596,6
2017-11-16 13:03:19,1510808599,6
2017-11-16 13:03:21,1510808601,6
2017-11-16 13:03:58,1510808638,6
2017-11-16 13:04:00,1510808640,6
2017-11-16 13:04:04,1510808644,6
2017-11-16 13:04:05,1510808645,6
2017-11-16 13:04:08,1510808648,6
2017-11-16 13:04:12,1510808652,6
2017-11-16 13:04:15,1510808655,6
2017-11-16 13:04:20,1510808660,5
2017-11-16 13:04:22,1510808662,6
2017-11-16 13:04:23,1510808663,6
2017-11-16 13:04:25,1510808665,6
2017-11-16 13:04:28,1510808668,5
2017-11-16 13:04:34,1510808674,6
2017-11-16 13:04:36,1510808676,6
2017-11-16 13:04:37,1510808677,6
2017-11-16 13:04:43,1510808683,6
2017-11-16 13:04:44,1510808684,6
2017-11-16 13:04:46,1510808686,6
2017-11-16 13:04:49,1510808689,5
2017-11-16 13:04:51,1510808691,6
2017-11-16 13:04:54,1510808694,5
2017-11-16 13:05:03,1510808703,5
2017-11-16 13:05:06,1510808706,6
2017-11-16 13:05:09,1510808709,6
2017-11-16 13:05:39,1510808739,6
2017-11-16 13:06:15,1510808775,6
2017-11-16 13:06:46,1510808806,5
2017-11-16 13:06:47,1510808807,5
2017-11-16 13:06:51,1510808811,5
2017-11-16 13:06:56,1510808816,5
2017-11-16 13:06:57,1510808817,5
2017-11-16 13:07:01,1510808821,6
2017-11-16 13:07:10,1510808830,6
2017-11-16 13:07:14,1510808834,6
2017-11-16 13:07:15,1510808835,6
2017-11-16 13:07:19,1510808839,6
2017-11-16 13:07:48,1510808868,6
2017-11-16 13:07:50,1510808870,6
2017-11-16 13:07:52,1510808872,6
2017-11-16 13:08:18,1510808898,6
2017-11-16 13:08:19,1510808899,6
2017-11-16 13:08:49,1510808929,6
2017-11-16 13:08:50,1510808930,6
2017-11-16 13:08:52,1510808932,5
2017-11-16 13:08:55,1510808935,5
2017-11-16 13:09:00,1510808940,6
2017-11-16 13:09:08,1510808948,6
2017-11-16 13:09:26,1510808966,6
2017-11-16 13:09:57,1510808997,6
2017-11-16 13:10:27,1510809027,6
2017-11-16 13:10:34,1510809034,6
2017-11-16 13:10:37,1510809037,6
2017-11-16 13:10:42,1510809042,5
2017-11-16 13:10:48,1510809048,5
2017-11-16 13:11:00,1510809060,5
2017-11-16 13:11:25,1510809085,5
2017-11-16 13:11:28,1510809088,5
2017-11-16 13:11:55,1510809115,6
2017-11-16 13:11:59,1510809119,5
2017-11-16 13:12:05,1510809125,6
2017-11-16 13:12:35,1510809155,6
2017-11-16 13:12:36,1510809156,6
2017-11-16 13:12:38,1510809158,6
2017-11-16 13:12:39,1510809159,6
2017-11-16 13:13:05,1510809185,6
2017-11-16 13:13:07,1510809187,6
2017-11-16 13:13:08,1510809188,6
2017-11-16 13:13:22,1510809202,6
2017-11-16 13:13:50,1510809230,6
2017-11-16 13:13:52,1510809232,6
2017-11-16 13:13:53,1510809233,6
2017-11-16 13:14:22,1510809262,6
2017-11-16 13:14:24,1510809264,6
2017-11-16 13:14:26,1510809266,6
2017-11-16 13:14:38,1510809278,6
2017-11-16 13:15:09,1510809309,6
2017-11-16 13:15:12,1510809312,5
2017-11-16 13:15:35,1510809335,5
2017-11-16 13:15:40,1510809340,6
2017-11-16 13:15:41,1510809341,6
